"text","class"
" kendala  engga  khawatir toppers belanja  nyaman  aman   pusat resolusi temukan solusi terbaik    penjual  adatipsnyatoppers tokopediacare tokopediacare mulaiajadulu tokopedya ","Positive"
" nih  biar cashback  nambah  tunggu   tokopediacare solusi terbaik    penjual  adatipsnyatoppers tokopediacare tokopediacare mulaiajadulu tokopedya ","Positive"
" nomor telfon customer care nya brp ya bantuan sesi chatt  membantu    nambah ribet   bicara  operator","Positive"
" okay min makasih yaaa","Positive"
" min   ya  saldo ecash   ","Positive"
"status resi  transaksimu  terlacak  khawatir toppers   tunggu maksimal x jam  penjual input resi    perubahan resi  penjual  transaksimu  batal otomatis adatipsnyatoppers tokopediacareediacare mulaiajadulu tokopedya ","Positive"
" toppers mention   bilang  jingle notifikasi tokopedia lucu alias unch banget    gimana toppers share yuk tanyatoppers tokopediacarerbaik  harinya tokopediacare adatipsnyatoppers tokopediacareediacare mulaiajadulu tokopedya ","Positive"
"toppers  pengalaman belanja online  aman  lancar pastikan   membaca syarat  ketentuan tokopedia  jaga informasi pribadi  kode otp    menghindari penyalahgunaan data   manapun tokopediacareluan semangat ya tokopediacareps t co nxigr owTot","Positive"
"raga muda semangat  membara mulaiajadulu   membangun bangsa tercinta berkarya  cita cita mulia selamat  sumpah pemuda oktober tokopediacare ","Positive"
"  masukan  tokopedia versi app terbaru sistem pengiriman digabung aja     dipecah durasi  kurir nya  simpel    langkah kaya  yg  pilih durasi   kurir ","Positive"
" iya  rekan   yg berhasil  emang dipilih org  aja  gmn ya  bingung","Positive"
" amin btw cek dm ya kebanyakan kurir nya kalo ga jne ya tiki min    nya  gabisa yaudahlah gapapa ps t co qpyv f gfYlink   dibaca maw yax t q very big km tr dos  berpindah karna su sayang nyanyi mulaiajadulu tokopedtokopediacareps t co nxigr owTot","Positive"
" kode promo   dipakai tercetak  invoice  toped beralasan  valid ","Positive"
" knp ga lsg  masukkan   pembayaran  jd    cust jd terinfo   berfikir ","Positive"
"  tokopedia tdk bs diuka  klik beli","Positive"
"  dibalas  mohon tanggapannya terima kasih ","Positive"
" o iya min kode voucher tdk mendukung ","Positive"
"  tertipu uang  diambil  debit  tokopedia  butuh telp customer care tokopedia mohon bantuannya ","Positive"
" sy mohon bantuan tokopedia  melacak transaksi     tindak    yg berwajib tolong hubungi   email khadijahmardhiyah com","Positive"
"   telp  okt pkl mengatasnamakan bank bni syariah singkat cerita   mengikuti alur yg  penipu dgn vcn saldo  tertarik kali ","Positive"
"  gak niat sy  dikembalikan dana  proses  aneh klo   promo  masuk pembayarannya","Positive"
"mohon  menu pusat resolusi   seller cnbb shop tanggal oktober pembeli  mengajukan komplain   skrg respon   lambat  dibalas    menu pusat resolusi tgl oktober ","Positive"
" selamat pagi bpk muhammad utk menindaklanjuti perihal tsb  membutuhkan  data  keamanan data tsb bpk dpt mengirimkan pesan  e mail mandiricare co id  dpt  pengecekkan   ya tks elis","Positive"
" oke","Positive"
" mohon bantuan perbedaan ongkir    seller","Positive"
" barusan baca koran  jawa pos surabaya  sih toped kayak   ","Positive"
"hi  reputasi toko  sesuai  produknya berkualitas    membeli produk iphone  toko    ragu takut  kwalitas    ","Positive"
" trus kalo barang ilang kaya gini proses klaim nya gimanana a  kalo refund    potong  ongkir pengembalian kun    kena tim fraud    beli  pakai akun  aja  anyi mulaiajadulu tokopedtokopediacareps t co nxigr owTot","Positive"
" hi     uang transaksi dikembalikan  rekening  tokopedia  bukti transfer  customer via email  halnya  upload bukti transfer  membeli barang ","Positive"
" mohon  cek dm   ","Positive"
" ohh oke baiklah  ketemu  bertahun  pakai toped  sadar thanks minn","Positive"
"   kecewa dgn cs   komplain invoice  dituduh cs  bekerjasama dgn pembeli  bukti  dituduh mengirim barang yg ga sesuai  pembeli  dipaksa menerima retur pembeli yg  barangnya sdh sesuai","Positive"
"  kali coba belanja  website tokopedia    klik bayar  keterangan kupon  melewati  berlaku  ya ","Positive"
" pop up error message  muncul   pilih alamat pengiriman    close pop up nya  klik bayar muncul  pop up yg     mengisi kode promo apapun","Positive"
"ya  kayaknya sengaja ditoko sebelah lancar ","Positive"
" sdh  dm mohon dicek yah ","Positive"
" ok terima kasih","Positive"
"  bayar kartu kredit ga berhasil ujung nya dibatalin  cashback ga dapet ga niat banget sih bikin promo","Positive"
"dear mohon bantuannya terima kasih","Positive"
" iya   mengganggu nih ","Positive"
"citra yg  dibangun bagus dr  dirusak bgtu   tim fraud macem si merah main motong saldo sebelah   tdk mw mmbri promo dr  sj diggalkan knp tb diakumulasi  dipotong sblh  yg skrg sy hrs menanggung  tokopediafraud ","Positive"
" diperhatiin abis gajian belanja  tokopedia  ya bukti bakti gue  ortu   tokopedia  sih mama  pulsa gue beliin  tokopedia   setia gitu sa trakan berpindah karna su sayang nyanyi mulaiajadulu tokopedtokopediacareps t co nxigr owTot","Positive"
"  tia terimakasih","Positive"
"duka terdalam    musibah jatuhnya pesawat lionair jt  harapan   korban cepat ditemukan  keluarga  ditinggalkan  kesabaran  ketabahan  tuhan yme tokopediacare","Positive"
" oke noted terimakasih","Positive"
" pagi kak mohon no transaksi  diteruskan  penjual penjual   chat  x jam   respon  penjualtrims","Positive"
" tolong d batalin aj transaksi sya pmbeli smpe skrg g  transaksinya blum dkirim barangy pdahl dri  kamis d proses pembayarany mlah pke alasan jne g  kabar  tolong min","Positive"
"min sy bli token listrik dr jam  sampe skrg blm dikirim no token nya y dl enak langsung  wa  skrg gak y knp ","Positive"
" dm terkirim mohon dicek ","Positive"
"   diselesaikan  twitter aja  komplain toped slow respon  ga memuaskan mending   aja biar orang   baca ","Positive"
" tolong   ditangani  balesnya cepat","Positive"
"berhasil isi saldo e money  saldo gak bertambah  update top up saldo    mudah  nfc  smartphone atm channel bank mandiri gerai retail terdekat cek edukasitoppers tokopediacare","Positive"
" halo tokopedia mohon bantuannya   invoice inistatus  delivered  dana  cair  penjual mohon   tindak trims","Positive"
"  suwun minn   ya kal gak dept  kcewa  sekrang gak  sukses trus scholarship yuk cek info selengkapnya   tokopediaCtoppers tokopediacare","Positive"
" cek dm ease ack eh  kena php  sukses trus scholarship yuk cek info selengkapnya   tokopediaCtoppers tokopediacare","Positive"
"  erlan silakan dicek bener gak masuk pulsanya    mamaku doi  gabisa nelpon akujadi  mamaku  udah  notifnya pulsanya masuk  pas besok dicek  pulsanya ilang pusing banget ghoib gini lan  serius  gak becanda lan t co nxigr owTot","Positive"
"  udah clear cache tetep    udah coba  hape   hape istri   aja  udah coba install ulang  aja koneksi internet  stabil ","Positive"
"raga muda semangat  membara mulaiajadulu   membangun bangsa tercinta berkarya  cita cita mulia selamat  sumpah pemuda oktober tokopediacare ","Positive"
" bs beli emas   ","Positive"
" min pesanan  transaksi sdh diterima sesuai informasi pembeli  tracking resi kurir pengiriman mohon konfirmasi otomatis dr tokopedia dpt     trims","Positive"
" hai dava mohon maaf  ketidaknyamanannya perihal keluhan  mohon kesediaanya   laporan   e commerce terkait     ditindaklanjuti  tim terkait  ya tks yun","Positive"
"    order  tokopedia gratis ongkir    pakai  jne   ","Positive"
" reksadana ditokped aman ngga  kena hack  bantu  newbie","Positive"
" ok thanks","Positive"
" resi service yes dr tgl smp detik  tgl brg jg blm sampek  penerima   uangnya tp integritasnya gak    tobat kalok  pilihan wajib  inv udah  giles jne","Positive"
" min barusan beli token listrik   ya tumben ga langsung muncul notif berhasil  udah dibayar nih","Positive"
"  nambah lg cindy nih okee  td pagi udah berhasil masuk min cashbacknya makasih cindy lala alvin bianca dkk  happy weekend amacih okt jam    perpanjangan  tks","Positive"
" ok terima kasih","Positive"
" laporan dr klik bca nya ","Positive"
" ","Positive"
" toko online mesti  sabar   batas toleransi amain nama nya","Positive"
" barang retur  diterima penjual mohon diremit dana  ","Positive"
" selamat siang mohon dibantu  perubahan tanggal tiket pesawat  salah tanggal kelebihan seminggu","Positive"
" mohon dibantu transaksi instant tp blm  driver yg ambil mohon dicarikan driver   ","Positive"
" halo  bpk mohon maaf  ketidaknyamanannya utk menindaklanjuti perihal tsb  membutuhkan bbrp data  keamanan data yg  bpk  dpt mengirim pesan  email mandiricare co id   pengecekan   ya tks yuma","Positive"
"  kekuranga pembayarannya mohon  bantu verifikasi min ","Positive"
" halo mohon bantuannya  transaksi   tokped  jabarkan  dm ya thx","Positive"
" mohon          respon  custumer   tolong admin toped  merespon  komplain   no transaksi  ","Positive"
" selamat pagi min    bantu terkait saldo tokopedia yg  pindahkan  rekening taunya status pending  menunggu x jam klo saldo   d cancel gimana     belanjain ","Positive"
"  min terimakasih ","Positive"
"  cm py rekening mandiri knp emgnya sy  pindah lapak sebelah","Positive"
" barang   kirim  seller gak percaya telpon aja kurirnya kalo  bungkus barang   buang min seller slow respon admin  pusat resolusi  aja berpihak  seller  nodai slogan ","Positive"
" masuk  tokocash gw    ngasih password topednya  org tsb ikan jaminan  pembelian   bakmi gm  menghubungi tokopedia kasir pelayan  menangani  tau ","Positive"
" halo sy lupa konfirmasi pengiriman tp brg sdh dikirim  diterima pembeli sy sdh lampirkan bukti gosend  mohon cek invoice thx ","Positive"
"cashback blm masuk ni mas mba udh x jam mohon bantuannya","Positive"
" klo  applikasi nya fitur hotlist  udah ga  yah sayang bgt ","Positive"
" dear admin mohon dibantu  case  ","Positive"
" kaya gini mulu pas  bayar ","Positive"
" yah periode promonya  habis  dana       bayar pakai  coba ","Positive"
"  terima kasih  informasinya proposalnya    email email  ya","Positive"
" trims kak lala sehat  ya bebs","Positive"
"kak promo    bayar  klik bca  dimana unk  bukti transfernya ya kak ","Positive"
"thanks brg yg dipajang  ready bgt dipesan  dibayar langsung dikirim  nyampe mesti belajar utamakan pelayanan yg  cepat spt  ","Positive"
"   balas dm nya kak mohon  cek","Positive"
" mohon bantu   perpanjang an  kirim  gojek   diperpanjang   malam    gojek   dipick up  pagi besok ","Positive"
"  menunggu tokopediacare  membantu permasalahan  dimana akun   mudah  bobol orang  pesanan  dibatalkan  uangnya  trasfer  digantikan  rek pembobol  knapa orang mudah menganti rek sy   jam","Positive"
"  seller  shopee   jne     dropshiper  j t resi otomatis  selektif milih seller  barang  dijual ","Positive"
" iya   kemaren  jatuh tempo  semangat  suru nunggu  batas   uda   mundur teratur karna belom    tinggal jam  biarin pengambil kebijakannya  sembunyi     tagih  ","Positive"
"   pengembalian  ovo min mohon infonya  ya     transaksi","Positive"
" alvin dr  yg  omongin ya ovo cash peduli setan  ovo points ok klo gitu tolong    scr detail mekanisme penarikan dana  reksa dana  yg  beli via tokopedia  tokocash berganti  ovo cash ","Positive"
" iya   aktifkan   aktifkan  transaksi berhasil    aktifkan  transaksi     pointnya ","Positive"
" jujur aja    ribet skrg    kpn ovopoint  dipake  beli reksadana scr instant sprt tokocash   kali kalo   perubahan sprt  bikin polling   majority setuju pake ovo ","Positive"
" kasusnya  kaya gue banget kesel  ya digituin","Positive"
"min uang hasil penjualan barang    transaksi sukses  dicair  saldo tokopedia   ovo cash ","Positive"
" ok   baca      dm tolong  direspon ya dm nya","Positive"
" refund tiket pesawat    x jam dana   masuk  saldo proses  min mba cantik mas tampan makasih ","Positive"
" mohon kejelasan  transaksi cicilan kartu kredit yg ditagih full   bank    konfirmasi apapun   transaksi   dijadikan transaksi cicilan","Positive"
"   sy  stop   sbg penjual  pembeli sy byk dirugikan dgn sistemnya yg aneh sy  fokus   sj yg  manusiawi   email pakai mesin ","Positive"
"  solusisnya sy lupa  screenshoot  pd    customer   sy membaca s k yg  uang sepenuhnya masuk   ","Positive"
"   sy  stop   sbg penjual  pembeli sy byk dirugikan dgn sistemnya yg aneh sy  fokus   sj yg  manusiawi   email pakai mesin ","Positive"
" oke laura terimakasih  tanggapannya ","Positive"
"transaksi  batalkan  dana     pelayanannya  buruk ya  sekedar   rekan ","Positive"
" mohon bantuan nya min","Positive"
" hai kak mohon bantuannya pengembalian point  transaksi yg  batalkan tkp terimakasih kak","Positive"
" yg  sms    no hp akun yg memesankan  no hp yg   alamat penerima   beli barang utk hadiah  alamat  no hp org  yg menerima  no hp penerima  toped jg dpt ","Positive"
" oke  kakak terima kasih","Positive"
" kantin   nasi bening pecel lele ka nina   dhe sukanya makanan berlemak yg gk sehat  wajar  usia dana   full   tokopedia salah memotong ongkir hrs kemanalagi kah   bantuan sih","Positive"
" iyo kak jaringane iseh edge bocahe pancen ngeyelan sepurane yo kak m sukanya makanan berlemak yg gk sehat  wajar  usia dana   full   tokopedia salah memotong ongkir hrs kemanalagi kah   bantuan sih","Positive"
" kak nina siang gini enaknya makan yg sehat kayak gado gitu  yg seger kayak gulai kambing bustaman si ga   ajak kak makan telor aja langsung bisulan doi  tokped jualan obat bisul ga kak ","Positive"
" min klo ngambil peluang kelebihan ongkir  bebankan  penjual yg ambil peluang ","Positive"
"  terima kasih yakopediacare yo kak m sukanya makanan berlemak yg gk sehat  wajar  usia dana   full   tokopedia salah memotong ongkir hrs kemanalagi kah   bantuan sih","Positive"
" min transaksi  belom berhasil   ovo cash  poin  terpotong yahno pesenan tkp ","Positive"
" selamat pagi bpk angga mohon maaf  ketidaknyamanannya utk perihal tsb bpk   clear cache pd device hp yg  tunggu  menit  mencoba   berkala ya tks vera","Positive"
" ohh gitu  utk saldo ovo cash gk   tarik  rek pribadi ya oke kak naya terima kasih  bantuannya ","Positive"
" kembalikan uang  tokopedia situs    dipercaya    ","Positive"
"  min  kali      pointnya ya minsaya     dijwab      mohon jgn sekedar template smga  depannya    thanksja kakkkkk an sih","Positive"
" klo  baca   aktivasi nya    code aktivasi via sms  masukkan nama sesuai ktp   gak  dpt option   layar toped  tisp kali masukkan kode aktivasi  dibilang kode aktivasi salah pdhal  ","Positive"
" klo g  saran ya dg ganti tokocash  ovo it s big mistake orang uda nyaman dg tokocash it s your bad gue uda lelah ngurusin aktivasi ovo krn ga  kasih solusi  terkesan gak peduli bersambung ","Positive"
" sy  top up ovocash tgl nov    cashback yg masuk  skrg help pls tokopedia thx","Positive"
"  transaksi      top up        pembayaran  tunggu ovo cash  kunjung masuk   cek  transaksi dibatalkan ","Positive"
" weekend  cocok cairin hasil penjualanmu  tokopedia toppers ayokebut keuntungan penjualanmu  tokopedia komiktoped tokopediacare ","Positive"
" tenang  kalo   kembalikan uang  yg     dikembalijan  tokopedia ","Positive"
" mohon  cek dm terima kasih ","Positive"
"  kasih  ya   jenis fitur ovo    manfaatkan  ovo cash  ovo points bedanya  sih yuk perhatiin toped  ya ayokebut aktivasi ovoo dcdld ayeQhope you guys will consider my advice ","Positive"
"toppers   waspada ya      mengaku  tokopedia   data pribadi   whatsapp   seputar tokopedia   hubungi  mengakses halaman bantuan  ","Positive"
" mohon dicek","Positive"
"   produk   pengawasan ","Positive"
"  kasih  ya   jenis fitur ovo    manfaatkan  ovo cash  ovo points bedanya  sih yuk perhatiin toped  ya ayokebut aktivasi ovolast transaction but its ok it will be my experience in olshop an sih","Positive"
"   oknum  mengatasnamakan tokopedia  kode verifikasi    mohon diselesaikan ","Positive"
" min  bantu remit trx sy dropship external pake ninja  ninja ga  terlacak klo manual input  d cek  tracking ninjanya  sesuai  ","Positive"
" halo tokopedia  bantu   twit  drtd siang   respon respon   semenjak collab dgn ovo  payah ya hehe","Positive"
" bkn  mbak tia  coba  luruskan yg  permasalahkan   attitude seller yg  menyenangkan seller ybs  menuduh mengatai   jengah  berharap transaksi  dibatalkan  jujur  kecewa diperlakukan spt   seller ","Positive"
" bener  chat  toped  saldo udah  refund      masuk saldo    cek  berkala tolong  up  ya min makasih transaction but its ok it will be my experience in olshop an sih","Positive"
"  nomer invoice nya ivr xviii xi saldo ovo rp  udah berkurang  yg     sisa nya engga muncul pemberitahuan ya    transaksi ulang  pembayaran va  berhasil ","Positive"
" mohon balas dm  kak terima kasih","Positive"
" selamat siang tokopediacare     pengembalian tokopoint   kmaren  batalkan      blm menerima dana dr tokocash    mencoba complaint dr cs tokopedia   dr cs  memuaskan   ","Positive"
" ok sdh sya dm","Positive"
" mohon maaf sahabat    informasi    silahkan kunjungi alfamart terdekat ya dyspond  really bad service h dr x  penarikan dana lbh dr ","Positive"
" min orderan customer  driver blm pick up   anggap barang  pick up barang   toko mohon bantuannya customer   pakai   ","Positive"
"   verifikasi   nomor   ","Positive"
" nanya kak  checkout pembelian  subsidi pake ovopoints   pas tenggat  pembayaran   ga  bayar alakah ovopoints   dikembalikan kaya tokocash  ","Positive"
"maaf kak     at meghub sy  pengembalian dna dg  whatsapp mmnta kta sndi ","Positive"
" dm sya mohon   follow up ","Positive"
" ","Positive"
" saran  menarik    masuk kerja sabtu  minggu ya coba bicara  atasan      cs  copy paste  notokopedia","Positive"
" go mobile nov ref trf dana  cimb niagatokopediaidr sukses ","Positive"
" mohon bantuannya","Positive"
"tim  mendukung perjuangan toppers  pahlawan    membangun bangsa indonesia    maju selamat haripahlawan toppers ","Positive"
" ok tq tolong hapus plagiator lapak ","Positive"
" ya  jgn seenak aja tinggal pindah  ovo cash sdh gitu   aktivasi ovo cashnya ngga  ngga dikirim kode aktivasinya smp nunggu x kampret deh ng bikin susah aja deh suruh ganti  ngga   disuruh tunggu x jam   x jam ","Positive"
"   top up ovo  tokopedia ","Positive"
" ok ga ","Positive"
" sd hy bbunjs p btu driver sudab   penjual   dihubungi   mohon solusinya","Positive"
" oh oke kalo gitu terimakasih min","Positive"
" mohon  bantu  poin ovo tokopedia  ngeling  aplikasi ovo nya  no hp  email hermantorobi com terlampir gambarnya makasih ","Positive"
"mohon petunjuknya min saldo  yg rp kemana ya ","Positive"
" mohon cek dm please ","Positive"
"ngobrol  teman pacar sahabat    bahas  aja  nungguin cashback  tokopedia masuk tokopediacare tgif  memenuhi resolusinya   ayokebut  tutup aj nih akun","Positive"
"perjuangan  pahlawan bangsa      perjuangan  berlanjut  membangun bangsa indonesia    selamat  pahlawan november toppers haripahlawan tokopediacare","Positive"
" ok  dibalas","Positive"
" udah  malem cek twit yg  deh min intinya sih  masuk pusat resolusi pilihan  yg   pilih solusi  pembeli tukar produk sesuai pesanan solusi   kirim aja pembeli sih udah setuju ","Positive"
" transaksi beli pulsa blm berhasil  ovo point sdh berkurang yaa tlong kembalikan ovo point ","Positive"
"hallo kak    jam nih   blm jg  driver mohon direspon ya tks","Positive"
" iya kak ","Positive"
"   whatsapp sy takut nya   resmi  tokopedia  perubahan metode pembayaran kog  indomaret pt shopee sy  share no hp nya  tdk berani","Positive"
" mohon  bantu min status grab nya gak  ","Positive"
"dear bank mandiri mohon check saldo e money    top up   saldo blm bertambah dear mohon check invoice ivr xviii xi  saldo  bertambah ","Positive"
" oke terima kasih  penjelasannya","Positive"
"hai min  tgl   spesial sale info pliss ","Positive"
" mohon dirubah resi pengiriman  jne  jnt  admin  lupa  merubah  menu tokopedia","Positive"
" tolong cs tokopedia diperhatikan  runtutan     komplain  csnya berganti    mengulang       bukti screenshot  aplikasi ovo  tokopedia  chat  mohon diperhatikan urgent","Positive"
" dear admin kenyataannya   terima   cek  capture aplikasi ovo  aplikasi tokopedia  terlampir mohon ditelusuri   urgent","Positive"
" min  chatnya error  tanda kena bannedjadi ga  klik linknya ","Positive"
" mo beli token listrik  mbayar tp   tabungan  ","Positive"
" mohon dibantu sy sdh hubungi cs wahana tp gak  diangkat ","Positive"
" min mo  ovo point gunanya  ","Positive"
" sy inget  min klo pilih voucher cashback yg rb tp  admin ga  ","Positive"
" iya  rekan yg  yg belanja ditokped mesti  teliti  promo nya hehe","Positive"
"mohon cek dm min ","Positive"
" selamat siang min   kesalahan transfer ngurusnya gimana ","Positive"
" hallo  td tarik dana  masukin cabang bca nya harapan indah bekasi pas  cek  kcp   bulevard hijau  lokasi  harapan indah bekasi  pengaruh gak  dana tumben  masuk","Positive"
" iya mohon dibales  ya fast respon pliss","Positive"
" ok terima kasih","Positive"
" selamat malam mohon maaf  kendalanya  diinformasikan detail kendala   alami  dm ya terima kasih raisha","Positive"
" halo selamat sore   saldo toko cash  berubah  ovo credit ya    pemberitahuan sblmnya","Positive"
" min tlg tny kalo dpt cashback skrg otomatis masuk  ovo point gunanya   ya min   dipakai  bayar tagihan  kah ovopoint nya ","Positive"
" dear admin   mengirimkan via dm link produk    pilihan kurirnya  check out mohon dicek  pilih alamat     pilihan kurir  screenshot nya ","Positive"
" ok thanks min","Positive"
" selamat sore silakan cek dm   tks ktl","Positive"
"gila dipaksa pakai ovo   aktivasi udah dikasih pin kali ga    payahlah ","Positive"
"  ud  sabar menunggu  minggu tpi  orng admin  mengerti","Positive"
" tolonglah  dihargai","Positive"
" ok kak   ya kak trimakasih","Positive"
"  min   dm ya min terima kasih","Positive"
"  fix masuk  tokocash     dicairin  rekening  ","Positive"
" ka please respon cepat ya dm ","Positive"
"  terima kasih","Positive"
" invoice  barang sy kirim terpisah kiriman   no resi jp no resi  jp mohon dibantu terimakasih ","Positive"
"   stok   setting terbatas  unit  tokped ngelesnya ga jago  maaf aja kalo sistemnya ga   lapak sebelah ta mention  nih ","Positive"
" oke makasiii ","Positive"
" min tlg utk transaksi  cancel  pencarian drivernya krn barang blm   pickup tlg cari drvr lg  jam ya min makasih","Positive"
" ok makasih ","Positive"
" ok trims infonya","Positive"
"  tanda bintangnya ga min kl  tlg infokan biar  oia  saldo toped msh     min ","Positive"
" thank you  harap  cepat ketemu jalan keluarnya ya  komunikasi  seller  sulit nih ","Positive"
" min klo dpt saldo rb gini  pakeny gmn  klik ad notif ovo maksudny gmn y ","Positive"
"oke tq info nya ","Positive"
" okay","Positive"
" say brusan coba  tdk msh tdk muncul pembayaran dg ovo cash utk tiket kai  trf rek va cc ","Positive"
" silakan tulis kronologi pengalaman     perhatian konsumen  ","Positive"
" cek dm ka mohon   proses","Positive"
" halo kak   perpanjangan konfirmasi pengiriman pembeli  setuju tolong  proses ya kak  no pesanannya trimakasih ","Positive"
" makasih ya tokopedia  tokocash  ngajarin   nabung  hasil cashback  reksadana   hilang dah ganti ovopoints  gabisa  nabung  kemunduran d semoga tokopedia     selamat tinggal d","Positive"
"   belanja  tokopedia  clabi  bermasalah jg tp yaaa kaya  temen yg diatas cepet penanganannya beneran serius ","Positive"
"dear menu ovo sy tampilannya      ganti tanggal  cek penerimaan sy  ya ","Positive"
"   masuk cashbacknya payah ah semenjak pakai  tokopedia suka mendadak lenyap","Positive"
"   infokan  dm ya   email mohon respon nya","Positive"
"  payah  kalo kaya gini   merge  ovo sih","Positive"
" selamat sore tokopedia  gak  nomer telepon   dihubungi ya ","Positive"
"  kak mohon maaf  ketidaknyamanan nya kak    informasi    infokan ya kak ","Positive"
" iya  kalo ga tetep kaya  aja pakai tokocash serius min   yg kecewa ","Positive"
"  pengguna setia  kecewa  keputusan toped mengganti tokocash  ovo  sih  udah nyaman pake tokocash  cashbacknya jg ganti jd poin yaampun balikin lg tokocash ","Positive"
" ok","Positive"
"  gimana  sukses  nomornya  gak valid kak pulsaku ditelan thanos ok deh thx","Positive"
" admin  tolong dibantu tokocash    sinkron  akun ovo  email  tokocash berbeda  akun ovo   menggantinya ya ","Positive"
"  bayar tagihan listrik    berhasil  saldo bank  terpotong ","Positive"
"  gunanya berburu cashback kalo gabisa  beli tiket reksadana mending pake yg lainpakai aplikasi tokped  kalo udah gak sreg  gamau kudu pindah nyari  sreg  k screenshot  yak nuhun alasan pembeli  cancel","Positive"
" mohon  proses refund  saldo tokopedianya  ditindaklanjuti ","Positive"
" mohon  cek orderan   dm terima kasih","Positive"
" cm pakai kode voucher dgtoped rt hai kak mohon maaf  cont ","Positive"
" ngga  pilihan top up min udah  ubrek ubrek  homepage  widget  cek   sampe  pengaturan  ga  tuh pilihan top up ovo aplikasi jg udah yg terbaru  tampilan widget ovo  homepage   diklik ga   apanya  tabnya ga  diklik ","Positive"
" min td mlm sy beli ticket konser gunsnroses notinthislifetimetour notinthislifetimesdh dibayar  berhasil    pagi  dana  refund  statusnya berubah   dibayar   pagi dibayar ulang msh  statusnya","Positive"
" dear user gak tau   ngapain   update tncdan user     tnc memangnya  user  setuju  tnc   user  memilih   pakai tokocash   apresiasi dgn dana yg  adil  user","Positive"
" mohon info min sy  pakai voucher tp notif nya this promo can only be used on digital product payment  screenshot yg sy cantumkan  urut pict nomor sy ambil   drpd yg  shgga jam yg  berbeda ","Positive"
" ok terimakasih","Positive"
"  ovo points nilai rupiah cashback transaksi ","Positive"
" update aplikasi  blm nyaman gak muncul pilihan kurir gmn  blnja hadeuh","Positive"
"  sadar sekarangsetiap transaksi pake kode promo  nambah point ovo aja bkn cash saldo kaya   hiks rek  s nyicilnya smpe    bunga     mohon pencerahannya min nuhun alasan pembeli  cancel","Positive"
"  kak yuri sdh  balas dmnya trims ","Positive"
" siang min    sdh lakukan transfer via mandiri virtual account  transaksi    sukses      jam    halaman profile tertulis   menuntaskan pembayaran     ","Positive"
"mantep menit penarikan dana langsung cair masuk rekening cashback   dibelanjain gak   tokopedia aja menguntungkan bgt  gw  suka berburu cashback  transaksi pembayaran  bulannya nnya min nuhun alasan pembeli  cancel","Positive"
"   perubahan kak   aja ","Positive"
"  masukin kode promo alvin ngeliat gak  pilihan pembayaran dgn ovo points  bikin  urung  oke  kirim dm ya ","Positive"
" gmn prosedurnya brg blom smp tp sdh  klik selesai dluan br kli  sya blanja onlen via dpt driver kya gini sya blom buka paketnya ","Positive"
"  memperoleh cashback  pembelian tiket kai  aneh kalo nggak   pembelian tiket kai   pindah  penyedia tiket yg  yg  cashback  diskon  ","Positive"
" halo  balas keluhan orang cepat  keluhan   jam  dibalas ya ","Positive"
"   balas dm  email nya mohon  proses ","Positive"
" min  kelebihan pembayaran ","Positive"
"happy diwali    merayakan semoga  diberkahi kebahagiaan  ketentraman hati toppers  tokped ya   transaksi pembayaran  bulannya nnya min nuhun alasan pembeli  cancel","Positive"
" mohon   pickup ulang min skrg thanks","Positive"
" oke   dm","Positive"
" email daunbk com invoice silakan dicek tuh cashback rb kaga masuk kode promo dgtoped pembelian tiket kereta","Positive"
" lunas bayar min tolong buka dm mohon  diupdate status pembayarannya butuh barangnya cepet ","Positive"
" ok makasih infonya min","Positive"
" selamat siang mohon respon dm ","Positive"
" ok sdh    transaksi min thanks ya","Positive"
" belanja pake kode voucher  nggak  pilihan ovo nya  gunanya cashback   kalo nggak   belanja kode promo toped tks ","Positive"
"kak tolong dipercepat responnya  twitter  kemarin   twit   kalah   adminnya cepat responnya    menit  memuaskan thanks ","Positive"
" coba aja mas    berdalihnya ovo point rp   udah gabisa beli emas  reksadana  ovo  beres beres  pindah marketplace  udah nyaman banget","Positive"
"halo dana  ovo tokped  tetep  dipindahkan  rekening   toko cash  ","Positive"
" kaya nya tokopedia  mundur nih   maju  nya pakai tokocash  fleksibel   pakai      ","Positive"
" gajadi min   bayar pake ovo  berhasil thanks","Positive"
" transaksi  sdh selesai  cashback  bertambah pas peralihan toko cash  ovo mohon bantuannya","Positive"
"  min ditunggu","Positive"
" min  ga  aktivasi ovo  koneksi internet stabil mohon bantuannya","Positive"
" transaksi  bca ga   min  klikbca  klikpay","Positive"
" hmmm slalu eror  ovo knp  kerjasama ama ovo blm memadai sdm nya ovo mending yg  bagusan la  sakuku","Positive"
" mohon bantuan  pembayaran    verifikasi   pagi   transfer sesuai tagihan ","Positive"
"  nih diaduin kenyamanan  pengguna yg   pelanggan ovo  grab    nyaman ","Positive"
" permisi min  kalo transaksi    pilihan bayar   tokocash ovo points gitu ya mohon pencerahannya ","Positive"
" maaf nimbrung jd beli rd  pake  ovo gitu ya   langsung   marketplace  duuh pdhl  enak visa nabung reksa  autosweep tokocash ya ecuali statusnya  review  memahami  statusnya  selesai lho ","Positive"
" halo min problem    dmn ya  resi valid sesuai agen pengiriman makasih ","Positive"
"toppers   waspada ya      mengaku  tokopedia   data pribadi   whatsapp   seputar tokopedia   hubungi  mengakses halaman bantuan  ","Positive"
